author,comment,clean_text,cluster_id,sentimen
@ributandiastoto1516,"Over capacity ko masih impor, logikanya dimana? Salah satu mafianya nongol😂😂😂",over capacity ko impor logika salah satu mafia nongol,0,positif
@hermance1838,Lanjutkan pak Purbaya kami rakyat Indonesia di Kalimantan mendukung dan selalu memantau bapak tim dan keluarga atas keselamatan bapak bapak semua.kalau bapak terancam kami ada di sekitar bapak dan keluarga.,lanjut pak purbaya rakyat indonesia kalimantan dukung selalu pantau bapak tim keluarga atas selamat bapak bapak semua kalau bapak ancam bapak keluarga,0,positif
@redz3y,BANGUN KILANG BARU: Menguntungkan bagi Indonesia tapi merugikan bagi para mafia minyak Indonesia 😂,bangun kilang baru untung indonesia rugi mafia minyak indonesia,0,positif
@KDMtv-q4e,MANTAP PAK KOBOI PURBAYA❤ MENKEU RI🇮🇩,mantap pak koboi purbaya menkeu ri,0,positif
@noworries-g4b,"Pak prabowo tolong ganti mentri esdm, bahlil harus digusur karena tidak kompeten. Klo golkar melawan kami rakyat akan tenggelamkan mereka di tahun 2029 😡",pak prabowo ganti tri esdm bahlil gusur kompeten klo golkar lawan rakyat tenggelam tahun,0,positif
@TheAnonymousKnightOfJustice,DUKUNG PURBAYA! HIDUPLAH INDONESIA RAYA!,dukung purbaya hidup indonesia raya,0,positif
@eskrimwatch09,Ya allah lindungilah menkeu purbaya yg sangat tidak pro korupsi ❤❤❤❤,allah lindung menkeu purbaya yg sangat pro korupsi,0,positif
@yendiyan,"Pertamina dan BUMN itu harus di Reformasi Besar besaran, Pejabat pejabatnya banyak yang korup, Pertamina dan BUMN Tidak ada saingan  masih tetap rugi, apalagi ada saingan😂",pertamina bumn reformasi besar besar jabat jabat banyak korup pertamina bumn saing tetap rugi saing,0,positif
@GUNARSAIGUSTIKETUT,Bahlil...bahlil..sdh tdk percaya dgn manusia2 model begini.,bahlil bahlil sdh tdk percaya dgn manusia model begini,0,positif
@mirav8165,"RAKYAT BISA MENILAI MANA PEJABAT YANG TUKANG NGIBUL, SUKA BIKIN KONTROVERSI, MEMBUAT KEBIJAKAN MENYUSAHKAN RAKYAT VS PEJABAT YG PRO RAKYAT.. MAJU TERUS PAK PURBAYA, RAKYAT MENDUKUNGMU",rakyat nilai mana jabat tukang ngibul suka bikin kontroversi buat bijak susah rakyat vs jabat yg pro rakyat maju terus pak purbaya rakyat dukung,0,positif
@yezwecoolbro2,"Jebolan ITB lawan jebolan yg kampusnya nggak ada di Gogle,ayo rskyat!!! siapa yg hebat?",jebol itb lawan jebol yg kampus gogle ayo rskyat siapa yg hebat,0,positif
@ShuckryAmien,"Semenjak Zaman Pak Soeharto tidak satupun Sumur minyak dan kilang yang di bangun.  Ada apa?????????
Padahal perkara sepele mengurus hal seperti itu,.",semenjak zaman pak soeharto satu sumur minyak kilang bangun apa padahal perkara sepele urus,0,positif
@martinadhie,"Menkeu dulu berjulukan ratu pajak, pencekik rakyat jelata.
Menkeu sekarang, jadi pahlawan rakyat, lawan ""politikus gelap"". 👍",menkeu dulu juluk ratu pajak cekik rakyat jelata menkeu sekarang jadi pahlawan rakyat lawan politikus gelap,0,positif
@AW-zu4kk,"Maaf dana nya abis di pake korupsi, ngak bangun kilang sejak tahun 98",maaf dana nya abis pake korupsi ngak bangun kilang sejak tahun,0,positif
@antonandiasis2872,TANGKAP & PERIKSA BAHLIIL !!!!!!!,tangkap periksa bahliil,0,positif
@drumsetmusician,"""Sebentar lagi mau di bangun kok..."".....dalam mimpi kali yeee😅🎉",sebentar mau bangun kok mimpi kali yeee,0,positif
@haribersamanya4707,"Ukraina aja yg lgi perang bisa bangun ulang kilang minyak mereka, lah ini nggak ngapa2in kagak bisa bangun kilang!!!",ukraina aja yg lgi perang bangun ulang kilang minyak lah ngapa in kagak bangun kilang,0,positif
@andisisandi3806,Wah Bahlil main2 sama Mentri kepercayaan Prabowo.,wah bahlil main sama tri percaya prabowo,0,positif
@SaveroEro-l2k,"kita ga kekurangan orang pinter, cuma kerkurangan hati nurani...",ga kurang orang pinter cuma kerkurangan hati nurani,0,positif
@syahruljailani9507,gila dr tahun 98... dr sini gue paham betapa murahnya harusnya harga bensin... namun penjahat disektor tersebutlah yg bikin jadi mahal,gila dr tahun dr sini gue paham betapa murah harus harga bensin jahat sektor sebut yg bikin jadi mahal,0,positif
@retnayuli,"😅😅😅😅Betul. Kl byk kilang, kenapa nggak cukup minyak produksinya? Impor utk dpt FEE IMPOR? NIRU PERSIS KAYAK KASUS IMPOR DAGING SAPI? KOMISI DIBAGI-BAGI? Alasan impor, gak cukup produksinya, tapi BOONG! Blm penemuan sumber minyak di ARUN, ACEH, ITU TERBESAR DI DUNIA! Masih KURANG FEE IMPORNYA? Subsidi BBM 30 TRILYUN, DIGEDEIN JADI 37 TRILYUN. Kemana 7 TRILYUN tsb?",betul kl byk kilang cukup minyak produksi impor utk dpt fee impor niru persis kayak kasus impor daging sapi komisi bagi alas impor gak cukup produksi boong blm temu sumber minyak arun aceh besar dunia kurang fee impor subsidi bbm trilyun digedein jadi trilyun trilyun tsb,0,positif
@ahmadnasir7286,Antrian di SPBU Ngantri 😂,antri spbu ngantri,0,positif
@cmorimoybalb,klo over seharusnya bisa eksport bbm dong hahaha,klo over eksport bbm dong hahaha,0,positif
@mikeconroe3328,Anda percaya goblin atau orang teknis 😂,percaya goblin orang teknis,1,negatif
@muhammadatik583,Over akting bukan over capacity. Oper oper terus gak ada goal. Rakyat kena finalti terus.,over akting bukan over capacity oper oper terus gak goal rakyat kena finalti terus,0,positif
@AnakSingkong-oi6gb,Muka tuyul .mafia,muka tuyul mafia,0,positif
@raismone217,Waduh lagu lama nih...otakx,waduh lagu lama nih otakx,0,positif
@masjovi,🤣,,0,positif
@shellarevi5876,Bener banget heran apa sii yg buat pak prabowo masih mempertahankan itu org padahal banyak orang Indonesia yg lebih pinter dan yg jelas jujur dan mau bekerja bener²,bener banget heran apa sii yg buat pak prabowo tahan org padahal banyak orang indonesia yg lebih pinter yg jelas jujur mau kerja bener,0,positif
@mbahjosss3836,Kl gak impor gakada lahanbasah gaes😅,kl gak impor gakada lahanbasah gaes,0,positif
@AgusSalim-xn1ul,"​ @retnayuli Hampir semua polanya sama, ...",retnayuli hampir semua pola sama,0,positif
@nathanwidhiarso8586,"​ @shellarevi5876 sepertinya itu jurus strategi RI1 untuk melemahkan partai kuning.. maka diangkatlah menteri keuangan yang punya power dan kapabilitas yang pas, maju terus pak prabowo.. singkirkan antek2 partai yang merusak negeri ini.",shellarevi seperti jurus strategi ri lemah partai kuning angkat menteri uang punya power kapabilitas pas maju terus pak prabowo singkir antek partai rusak negeri,0,positif
@warbotaow8385,Asli bahlil harus diganti karna impor impor terus,asli bahlil ganti karna impor impor terus,0,positif
@Pertamax93,"Menteri ini Berfikir gak pakai logika
Tpi pakai duit😂",menteri berfikir gak pakai logika tpi pakai duit,0,positif
@danangprabowo2741,​ @shellarevi5876 .terkadang masalah  itu tidak harus dihilangkan..biarkan tetap ada ..supaya bisa kita observasi cara kerjanya ...,shellarevi terkadang masalah hilang biar tetap observasi cara kerja,0,positif
@roromera7685,Negara Indonesia g maju2 bukan dari Rakyatnya trnyata tp Pejabat Ny sndiri yg menghambat Negara Indonesia g Maju2 😮,negara indonesia g maju bukan rakyat trnyata tp jabat ny sndiri yg hambat negara indonesia g maju,0,positif
@upikharyanti7288,Karena Bahlil makelar importnya😂,bahlil makelar importnya,0,positif
@jait227,"bahlil ASBUN,,",bahlil asbun,0,positif
@nazmiyoug7407,Bahlil lg stand up 😂😂😂,bahlil lg stand up,0,positif
@lakalakamnasi8432,Dukung Menkeu buat terobosan yg baru,dukung menkeu buat terobos yg baru,0,positif
@NanikSuciowati,Heran knpa menteri SEBODOH itu TDK DIRESUFLE oleh P Wowo,heran knpa menteri bodoh tdk diresufle p wowo,0,positif
@Wagiso-us2yn,ya mending dibuat bancakan duitnya daripada utk bikin kilang..,mending buat bancak duit utk bikin kilang,0,positif
@Aku-kv3kb,Di dengkul😂😂😂,dengkul,0,positif
@Aku-kv3kb,Tuyul mbah lil😂😂,tuyul mbah lil,0,positif
@hapsarinepramudyo4228,"Beli pertalite sore hari di.SPBU nihil kata petugas pertalite tersedia di pagi hari hingga siang .... 

Bener ngga sih kebijakan ini (pencerahaannya dong loer)",beli pertalite sore hari spbu nihil kata tugas pertalite sedia pagi hari hingga siang bener ngga sih bijak pencerahaannya dong loer,0,positif
@KarmanNoob,Makin aneh ajah penjelasan ESDM ini jadi bahan kecurigaan & tertawaan rakyat kecil😮,makin aneh ajah jelas esdm jadi bahan curiga tertawa rakyat kecil,0,positif
@RusdyBoy-k7w,"Saya heran orang  Jokowi ini  dari ijazah palsu  sampai kilang  Pertamina tidak berdasar data pakta   padahal baHlul  ini baru di ESDM   berapa bulan, pak purbaya jujur berkata pakta  sesuwai  yg di sampaikan  pak haok.",heran orang jokowi ijazah palsu kilang pertamina dasar data pakta padahal bahlul baru esdm berapa bulan pak purbaya jujur kata pakta sesuwai yg sampai pak haok,0,positif
@bajahitam5476,Dia pikir rakyat sekarang percaya apa ini 2025 pak lil tidak semudah itu mau ngibulin rakyat.,pikir rakyat sekarang percaya apa pak lil mudah mau ngibulin rakyat,0,positif
@biasmaylinka4234,​ @shellarevi5876  sepemikiran... kok masih di pertahankan,shellarevi pikir kok tahan,0,positif
@AsepSuryanto-zu2bp,Kalau over ngapain impor😅😅😅,kalau over ngapain impor,0,positif
@DSA_VLOG93,Pak masyarakat sudah cerdas sekarang hati hati dalam berstatment 😂,pak masyarakat cerdas sekarang hati hati berstatment,0,positif
@cangkemrabies2008,tetep impor tadi crude oil bukan base oilnya,tetep impor tadi crude oil bukan base oilnya,0,positif
@jefryjong4750,"😂😂😂😂, itulah kadang pejabat Konoha anggap rakyatnya ginlok..dan mudah dibohongi😢",kadang jabat konoha anggap rakyat ginlok mudah bohong,0,positif
@alofficial205,"Berharap Prabowo segera pecat menteri2nya titipannya geng solo yg kerjanya pemeras rakyat dan korupsi kekayaan alam serta maling duit rakyat,,Krn kl TDK secepatnya pecat yg ada Prabowo digulung sama anggota geng Solo!!!",harap prabowo segera pecat menteri nya titip geng solo yg kerja peras rakyat korupsi kaya alam maling duit rakyat krn kl tdk cepat pecat yg prabowo gulung sama anggota geng solo,0,positif
@satisfied_dany,Minyak dari kilang mereka ekspor dan kita impor minyak ke negara seperti Singapura biar bisa di-mark up harganya atau ambil dari negara yg disanksi Amerika biar dapat harga murah.. sisa subsidi bisa Mereka caplok,minyak kilang ekspor impor minyak negara singapura biar mark up harga ambil negara yg sanksi amerika biar harga murah sisa subsidi caplok,0,positif
@kcbelilas,"over capacity, riau minyak diesel aja susah, pdhl atas baah isi'a minyak",over capacity riau minyak diesel aja susah pdhl atas baah isi a minyak,0,positif
@alitadnyana1218,CATAT PARTAINYA,catat partai,0,positif
@debujalanan7261,Jangan lupakan peran para WAKIL PARPOL yg   seharusnya mengawasi. Para WAKIL PARPOL sudah pasti kebagian UANG DIAM untuk pura-pura tidak tau.,jangan lupa peran wakil parpol yg awas wakil parpol bagi uang diam pura pura tau,0,positif
@allenz-zy3,Menteri kebanggaan jokontolll😅😅😅😅,menteri bangga jokontolll,0,positif
@bakasboy4792,😂,,0,positif
@ramasaid9915,Tuyul berkulit coklat,tuyul kulit coklat,0,positif
@rabbanichannel2461,Ayo tebak siapa kira2 mentri sebentar lagi yg akan ditangkap kpk?,ayo tebak siapa kira tri sebentar yg tangkap kpk,0,positif
