author,comment
@ributandiastoto1516,"Over capacity ko masih impor, logikanya dimana? Salah satu mafianya nongol😂😂😂"
@hermance1838,Lanjutkan pak Purbaya kami rakyat Indonesia di Kalimantan mendukung dan selalu memantau bapak tim dan keluarga atas keselamatan bapak bapak semua.kalau bapak terancam kami ada di sekitar bapak dan keluarga.
@redz3y,BANGUN KILANG BARU: Menguntungkan bagi Indonesia tapi merugikan bagi para mafia minyak Indonesia 😂
@KDMtv-q4e,MANTAP PAK KOBOI PURBAYA❤ MENKEU RI🇮🇩
@noworries-g4b,"Pak prabowo tolong ganti mentri esdm, bahlil harus digusur karena tidak kompeten. Klo golkar melawan kami rakyat akan tenggelamkan mereka di tahun 2029 😡"
@TheAnonymousKnightOfJustice,DUKUNG PURBAYA! HIDUPLAH INDONESIA RAYA!
@eskrimwatch09,Ya allah lindungilah menkeu purbaya yg sangat tidak pro korupsi ❤❤❤❤
@yendiyan,"Pertamina dan BUMN itu harus di Reformasi Besar besaran, Pejabat pejabatnya banyak yang korup, Pertamina dan BUMN Tidak ada saingan  masih tetap rugi, apalagi ada saingan😂"
@GUNARSAIGUSTIKETUT,Bahlil...bahlil..sdh tdk percaya dgn manusia2 model begini.
@mirav8165,"RAKYAT BISA MENILAI MANA PEJABAT YANG TUKANG NGIBUL, SUKA BIKIN KONTROVERSI, MEMBUAT KEBIJAKAN MENYUSAHKAN RAKYAT VS PEJABAT YG PRO RAKYAT.. MAJU TERUS PAK PURBAYA, RAKYAT MENDUKUNGMU"
@yezwecoolbro2,"Jebolan ITB lawan jebolan yg kampusnya nggak ada di Gogle,ayo rskyat!!! siapa yg hebat?"
@ShuckryAmien,"Semenjak Zaman Pak Soeharto tidak satupun Sumur minyak dan kilang yang di bangun.  Ada apa?????????
Padahal perkara sepele mengurus hal seperti itu,."
@martinadhie,"Menkeu dulu berjulukan ratu pajak, pencekik rakyat jelata.
Menkeu sekarang, jadi pahlawan rakyat, lawan ""politikus gelap"". 👍"
@AW-zu4kk,"Maaf dana nya abis di pake korupsi, ngak bangun kilang sejak tahun 98"
@antonandiasis2872,TANGKAP & PERIKSA BAHLIIL !!!!!!!
@drumsetmusician,"""Sebentar lagi mau di bangun kok..."".....dalam mimpi kali yeee😅🎉"
@haribersamanya4707,"Ukraina aja yg lgi perang bisa bangun ulang kilang minyak mereka, lah ini nggak ngapa2in kagak bisa bangun kilang!!!"
@andisisandi3806,Wah Bahlil main2 sama Mentri kepercayaan Prabowo.
@SaveroEro-l2k,"kita ga kekurangan orang pinter, cuma kerkurangan hati nurani..."
@syahruljailani9507,gila dr tahun 98... dr sini gue paham betapa murahnya harusnya harga bensin... namun penjahat disektor tersebutlah yg bikin jadi mahal
@retnayuli,"😅😅😅😅Betul. Kl byk kilang, kenapa nggak cukup minyak produksinya? Impor utk dpt FEE IMPOR? NIRU PERSIS KAYAK KASUS IMPOR DAGING SAPI? KOMISI DIBAGI-BAGI? Alasan impor, gak cukup produksinya, tapi BOONG! Blm penemuan sumber minyak di ARUN, ACEH, ITU TERBESAR DI DUNIA! Masih KURANG FEE IMPORNYA? Subsidi BBM 30 TRILYUN, DIGEDEIN JADI 37 TRILYUN. Kemana 7 TRILYUN tsb?"
@ahmadnasir7286,Antrian di SPBU Ngantri 😂
@cmorimoybalb,klo over seharusnya bisa eksport bbm dong hahaha
@mikeconroe3328,Anda percaya goblin atau orang teknis 😂
@muhammadatik583,Over akting bukan over capacity. Oper oper terus gak ada goal. Rakyat kena finalti terus.
@AnakSingkong-oi6gb,Muka tuyul .mafia
@raismone217,Waduh lagu lama nih...otakx
@masjovi,🤣
