author,comment,clean_comment,tokens,bigrams
@ributandiastoto1516,"Over capacity ko masih impor, logikanya dimana? Salah satu mafianya nongol😂😂😂","over capacity ko masih impor, logikanya dimana? salah satu mafianya nongol😂😂😂","['over', 'capacity', 'ko', 'masih', 'impor', ',', 'logikanya', 'dimana', '?', 'salah', 'satu', 'mafianya', 'nongol😂😂😂']","[('over', 'capacity'), ('capacity', 'ko'), ('ko', 'masih'), ('masih', 'impor'), ('impor', ','), (',', 'logikanya'), ('logikanya', 'dimana'), ('dimana', '?'), ('?', 'salah'), ('salah', 'satu'), ('satu', 'mafianya'), ('mafianya', 'nongol😂😂😂')]"
@hermance1838,Lanjutkan pak Purbaya kami rakyat Indonesia di Kalimantan mendukung dan selalu memantau bapak tim dan keluarga atas keselamatan bapak bapak semua.kalau bapak terancam kami ada di sekitar bapak dan keluarga.,lanjutkan pak purbaya kami rakyat indonesia di kalimantan mendukung dan selalu memantau bapak tim dan keluarga atas keselamatan bapak bapak semua.kalau bapak terancam kami ada di sekitar bapak dan keluarga.,"['lanjutkan', 'pak', 'purbaya', 'kami', 'rakyat', 'indonesia', 'di', 'kalimantan', 'mendukung', 'dan', 'selalu', 'memantau', 'bapak', 'tim', 'dan', 'keluarga', 'atas', 'keselamatan', 'bapak', 'bapak', 'semua.kalau', 'bapak', 'terancam', 'kami', 'ada', 'di', 'sekitar', 'bapak', 'dan', 'keluarga', '.']","[('lanjutkan', 'pak'), ('pak', 'purbaya'), ('purbaya', 'kami'), ('kami', 'rakyat'), ('rakyat', 'indonesia'), ('indonesia', 'di'), ('di', 'kalimantan'), ('kalimantan', 'mendukung'), ('mendukung', 'dan'), ('dan', 'selalu'), ('selalu', 'memantau'), ('memantau', 'bapak'), ('bapak', 'tim'), ('tim', 'dan'), ('dan', 'keluarga'), ('keluarga', 'atas'), ('atas', 'keselamatan'), ('keselamatan', 'bapak'), ('bapak', 'bapak'), ('bapak', 'semua.kalau'), ('semua.kalau', 'bapak'), ('bapak', 'terancam'), ('terancam', 'kami'), ('kami', 'ada'), ('ada', 'di'), ('di', 'sekitar'), ('sekitar', 'bapak'), ('bapak', 'dan'), ('dan', 'keluarga'), ('keluarga', '.')]"
@redz3y,BANGUN KILANG BARU: Menguntungkan bagi Indonesia tapi merugikan bagi para mafia minyak Indonesia 😂,bangun kilang baru: menguntungkan bagi indonesia tapi merugikan bagi para mafia minyak indonesia 😂,"['bangun', 'kilang', 'baru', ':', 'menguntungkan', 'bagi', 'indonesia', 'tapi', 'merugikan', 'bagi', 'para', 'mafia', 'minyak', 'indonesia', '😂']","[('bangun', 'kilang'), ('kilang', 'baru'), ('baru', ':'), (':', 'menguntungkan'), ('menguntungkan', 'bagi'), ('bagi', 'indonesia'), ('indonesia', 'tapi'), ('tapi', 'merugikan'), ('merugikan', 'bagi'), ('bagi', 'para'), ('para', 'mafia'), ('mafia', 'minyak'), ('minyak', 'indonesia'), ('indonesia', '😂')]"
@KDMtv-q4e,MANTAP PAK KOBOI PURBAYA❤ MENKEU RI🇮🇩,mantap pak koboi purbaya❤ menkeu ri🇮🇩,"['mantap', 'pak', 'koboi', 'purbaya❤', 'menkeu', 'ri🇮🇩']","[('mantap', 'pak'), ('pak', 'koboi'), ('koboi', 'purbaya❤'), ('purbaya❤', 'menkeu'), ('menkeu', 'ri🇮🇩')]"
@noworries-g4b,"Pak prabowo tolong ganti mentri esdm, bahlil harus digusur karena tidak kompeten. Klo golkar melawan kami rakyat akan tenggelamkan mereka di tahun 2029 😡","pak prabowo tolong ganti mentri esdm, bahlil harus digusur karena tidak kompeten. klo golkar melawan kami rakyat akan tenggelamkan mereka di tahun 2029 😡","['pak', 'prabowo', 'tolong', 'ganti', 'mentri', 'esdm', ',', 'bahlil', 'harus', 'digusur', 'karena', 'tidak', 'kompeten', '.', 'klo', 'golkar', 'melawan', 'kami', 'rakyat', 'akan', 'tenggelamkan', 'mereka', 'di', 'tahun', '2029', '😡']","[('pak', 'prabowo'), ('prabowo', 'tolong'), ('tolong', 'ganti'), ('ganti', 'mentri'), ('mentri', 'esdm'), ('esdm', ','), (',', 'bahlil'), ('bahlil', 'harus'), ('harus', 'digusur'), ('digusur', 'karena'), ('karena', 'tidak'), ('tidak', 'kompeten'), ('kompeten', '.'), ('.', 'klo'), ('klo', 'golkar'), ('golkar', 'melawan'), ('melawan', 'kami'), ('kami', 'rakyat'), ('rakyat', 'akan'), ('akan', 'tenggelamkan'), ('tenggelamkan', 'mereka'), ('mereka', 'di'), ('di', 'tahun'), ('tahun', '2029'), ('2029', '😡')]"
@TheAnonymousKnightOfJustice,DUKUNG PURBAYA! HIDUPLAH INDONESIA RAYA!,dukung purbaya! hiduplah indonesia raya!,"['dukung', 'purbaya', '!', 'hiduplah', 'indonesia', 'raya', '!']","[('dukung', 'purbaya'), ('purbaya', '!'), ('!', 'hiduplah'), ('hiduplah', 'indonesia'), ('indonesia', 'raya'), ('raya', '!')]"
@eskrimwatch09,Ya allah lindungilah menkeu purbaya yg sangat tidak pro korupsi ❤❤❤❤,ya allah lindungilah menkeu purbaya yg sangat tidak pro korupsi ❤❤❤❤,"['ya', 'allah', 'lindungilah', 'menkeu', 'purbaya', 'yg', 'sangat', 'tidak', 'pro', 'korupsi', '❤❤❤❤']","[('ya', 'allah'), ('allah', 'lindungilah'), ('lindungilah', 'menkeu'), ('menkeu', 'purbaya'), ('purbaya', 'yg'), ('yg', 'sangat'), ('sangat', 'tidak'), ('tidak', 'pro'), ('pro', 'korupsi'), ('korupsi', '❤❤❤❤')]"
@yendiyan,"Pertamina dan BUMN itu harus di Reformasi Besar besaran, Pejabat pejabatnya banyak yang korup, Pertamina dan BUMN Tidak ada saingan  masih tetap rugi, apalagi ada saingan😂","pertamina dan bumn itu harus di reformasi besar besaran, pejabat pejabatnya banyak yang korup, pertamina dan bumn tidak ada saingan  masih tetap rugi, apalagi ada saingan😂","['pertamina', 'dan', 'bumn', 'itu', 'harus', 'di', 'reformasi', 'besar', 'besaran', ',', 'pejabat', 'pejabatnya', 'banyak', 'yang', 'korup', ',', 'pertamina', 'dan', 'bumn', 'tidak', 'ada', 'saingan', 'masih', 'tetap', 'rugi', ',', 'apalagi', 'ada', 'saingan😂']","[('pertamina', 'dan'), ('dan', 'bumn'), ('bumn', 'itu'), ('itu', 'harus'), ('harus', 'di'), ('di', 'reformasi'), ('reformasi', 'besar'), ('besar', 'besaran'), ('besaran', ','), (',', 'pejabat'), ('pejabat', 'pejabatnya'), ('pejabatnya', 'banyak'), ('banyak', 'yang'), ('yang', 'korup'), ('korup', ','), (',', 'pertamina'), ('pertamina', 'dan'), ('dan', 'bumn'), ('bumn', 'tidak'), ('tidak', 'ada'), ('ada', 'saingan'), ('saingan', 'masih'), ('masih', 'tetap'), ('tetap', 'rugi'), ('rugi', ','), (',', 'apalagi'), ('apalagi', 'ada'), ('ada', 'saingan😂')]"
@GUNARSAIGUSTIKETUT,Bahlil...bahlil..sdh tdk percaya dgn manusia2 model begini.,bahlil...bahlil..sdh tdk percaya dgn manusia2 model begini.,"['bahlil', '...', 'bahlil', '..', 'sdh', 'tdk', 'percaya', 'dgn', 'manusia2', 'model', 'begini', '.']","[('bahlil', '...'), ('...', 'bahlil'), ('bahlil', '..'), ('..', 'sdh'), ('sdh', 'tdk'), ('tdk', 'percaya'), ('percaya', 'dgn'), ('dgn', 'manusia2'), ('manusia2', 'model'), ('model', 'begini'), ('begini', '.')]"
@mirav8165,"RAKYAT BISA MENILAI MANA PEJABAT YANG TUKANG NGIBUL, SUKA BIKIN KONTROVERSI, MEMBUAT KEBIJAKAN MENYUSAHKAN RAKYAT VS PEJABAT YG PRO RAKYAT.. MAJU TERUS PAK PURBAYA, RAKYAT MENDUKUNGMU","rakyat bisa menilai mana pejabat yang tukang ngibul, suka bikin kontroversi, membuat kebijakan menyusahkan rakyat vs pejabat yg pro rakyat.. maju terus pak purbaya, rakyat mendukungmu","['rakyat', 'bisa', 'menilai', 'mana', 'pejabat', 'yang', 'tukang', 'ngibul', ',', 'suka', 'bikin', 'kontroversi', ',', 'membuat', 'kebijakan', 'menyusahkan', 'rakyat', 'vs', 'pejabat', 'yg', 'pro', 'rakyat', '..', 'maju', 'terus', 'pak', 'purbaya', ',', 'rakyat', 'mendukungmu']","[('rakyat', 'bisa'), ('bisa', 'menilai'), ('menilai', 'mana'), ('mana', 'pejabat'), ('pejabat', 'yang'), ('yang', 'tukang'), ('tukang', 'ngibul'), ('ngibul', ','), (',', 'suka'), ('suka', 'bikin'), ('bikin', 'kontroversi'), ('kontroversi', ','), (',', 'membuat'), ('membuat', 'kebijakan'), ('kebijakan', 'menyusahkan'), ('menyusahkan', 'rakyat'), ('rakyat', 'vs'), ('vs', 'pejabat'), ('pejabat', 'yg'), ('yg', 'pro'), ('pro', 'rakyat'), ('rakyat', '..'), ('..', 'maju'), ('maju', 'terus'), ('terus', 'pak'), ('pak', 'purbaya'), ('purbaya', ','), (',', 'rakyat'), ('rakyat', 'mendukungmu')]"
