author,comment,clean_comment,normalized_comment
@ributandiastoto1516,"Over capacity ko masih impor, logikanya dimana? Salah satu mafianya nongol😂😂😂",over capacity ko masih impor logikanya dimana salah satu mafianya nongol,over capacity ko masih impor logikanya dimana salah satu mafianya nongol
@hermance1838,Lanjutkan pak Purbaya kami rakyat Indonesia di Kalimantan mendukung dan selalu memantau bapak tim dan keluarga atas keselamatan bapak bapak semua.kalau bapak terancam kami ada di sekitar bapak dan keluarga.,lanjutkan pak purbaya kami rakyat indonesia di kalimantan mendukung dan selalu memantau bapak tim dan keluarga atas keselamatan bapak bapak semua kalau bapak terancam kami ada di sekitar bapak dan keluarga,lanjutkan pak purbaya kami rakyat indonesia di kalimantan mendukung dan selalu memantau bapak tim dan keluarga atas keselamatan bapak bapak semua kalau bapak terancam kami ada di sekitar bapak dan keluarga
@redz3y,BANGUN KILANG BARU: Menguntungkan bagi Indonesia tapi merugikan bagi para mafia minyak Indonesia 😂,bangun kilang baru menguntungkan bagi indonesia tapi merugikan bagi para mafia minyak indonesia,bangun kilang baru menguntungkan bagi indonesia tapi merugikan bagi para mafia minyak indonesia
@KDMtv-q4e,MANTAP PAK KOBOI PURBAYA❤ MENKEU RI🇮🇩,mantap pak koboi purbaya menkeu ri,mantap pak koboi purbaya menkeu ri
@noworries-g4b,"Pak prabowo tolong ganti mentri esdm, bahlil harus digusur karena tidak kompeten. Klo golkar melawan kami rakyat akan tenggelamkan mereka di tahun 2029 😡",pak prabowo tolong ganti mentri esdm bahlil harus digusur karena tidak kompeten klo golkar melawan kami rakyat akan tenggelamkan mereka di tahun 2029,pak prabowo tolong ganti mentri esdm bahlil harus digusur karena tidak kompeten klo golkar melawan kami rakyat akan tenggelamkan mereka di tahun 2029
@TheAnonymousKnightOfJustice,DUKUNG PURBAYA! HIDUPLAH INDONESIA RAYA!,dukung purbaya hiduplah indonesia raya,dukung purbaya hiduplah indonesia raya
@eskrimwatch09,Ya allah lindungilah menkeu purbaya yg sangat tidak pro korupsi ❤❤❤❤,ya allah lindungilah menkeu purbaya yg sangat tidak pro korupsi,ya allah lindungilah menkeu purbaya yang sangat tidak pro korupsi
@yendiyan,"Pertamina dan BUMN itu harus di Reformasi Besar besaran, Pejabat pejabatnya banyak yang korup, Pertamina dan BUMN Tidak ada saingan  masih tetap rugi, apalagi ada saingan😂",pertamina dan bumn itu harus di reformasi besar besaran pejabat pejabatnya banyak yang korup pertamina dan bumn tidak ada saingan masih tetap rugi apalagi ada saingan,pertamina dan bumn itu harus di reformasi besar besaran pejabat pejabatnya banyak yang korup pertamina dan bumn tidak ada saingan masih tetap rugi apalagi ada saingan
@GUNARSAIGUSTIKETUT,Bahlil...bahlil..sdh tdk percaya dgn manusia2 model begini.,bahlil bahlil sdh tdk percaya dgn manusia2 model begini,bahlil bahlil sudah tdk percaya dengan manusia2 model begini
@mirav8165,"RAKYAT BISA MENILAI MANA PEJABAT YANG TUKANG NGIBUL, SUKA BIKIN KONTROVERSI, MEMBUAT KEBIJAKAN MENYUSAHKAN RAKYAT VS PEJABAT YG PRO RAKYAT.. MAJU TERUS PAK PURBAYA, RAKYAT MENDUKUNGMU",rakyat bisa menilai mana pejabat yang tukang ngibul suka bikin kontroversi membuat kebijakan menyusahkan rakyat vs pejabat yg pro rakyat maju terus pak purbaya rakyat mendukungmu,rakyat bisa menilai mana pejabat yang tukang ngibul suka bikin kontroversi membuat kebijakan menyusahkan rakyat vs pejabat yang pro rakyat maju terus pak purbaya rakyat mendukungmu
