author,comment,clean_comment,tokens,trigrams
@ributandiastoto1516,"Over capacity ko masih impor, logikanya dimana? Salah satu mafianya nongol😂😂😂","over capacity ko masih impor, logikanya dimana? salah satu mafianya nongol😂😂😂","['over', 'capacity', 'ko', 'masih', 'impor', ',', 'logikanya', 'dimana', '?', 'salah', 'satu', 'mafianya', 'nongol😂😂😂']","[('over', 'capacity', 'ko'), ('capacity', 'ko', 'masih'), ('ko', 'masih', 'impor'), ('masih', 'impor', ','), ('impor', ',', 'logikanya'), (',', 'logikanya', 'dimana'), ('logikanya', 'dimana', '?'), ('dimana', '?', 'salah'), ('?', 'salah', 'satu'), ('salah', 'satu', 'mafianya'), ('satu', 'mafianya', 'nongol😂😂😂')]"
@hermance1838,Lanjutkan pak Purbaya kami rakyat Indonesia di Kalimantan mendukung dan selalu memantau bapak tim dan keluarga atas keselamatan bapak bapak semua.kalau bapak terancam kami ada di sekitar bapak dan keluarga.,lanjutkan pak purbaya kami rakyat indonesia di kalimantan mendukung dan selalu memantau bapak tim dan keluarga atas keselamatan bapak bapak semua.kalau bapak terancam kami ada di sekitar bapak dan keluarga.,"['lanjutkan', 'pak', 'purbaya', 'kami', 'rakyat', 'indonesia', 'di', 'kalimantan', 'mendukung', 'dan', 'selalu', 'memantau', 'bapak', 'tim', 'dan', 'keluarga', 'atas', 'keselamatan', 'bapak', 'bapak', 'semua.kalau', 'bapak', 'terancam', 'kami', 'ada', 'di', 'sekitar', 'bapak', 'dan', 'keluarga', '.']","[('lanjutkan', 'pak', 'purbaya'), ('pak', 'purbaya', 'kami'), ('purbaya', 'kami', 'rakyat'), ('kami', 'rakyat', 'indonesia'), ('rakyat', 'indonesia', 'di'), ('indonesia', 'di', 'kalimantan'), ('di', 'kalimantan', 'mendukung'), ('kalimantan', 'mendukung', 'dan'), ('mendukung', 'dan', 'selalu'), ('dan', 'selalu', 'memantau'), ('selalu', 'memantau', 'bapak'), ('memantau', 'bapak', 'tim'), ('bapak', 'tim', 'dan'), ('tim', 'dan', 'keluarga'), ('dan', 'keluarga', 'atas'), ('keluarga', 'atas', 'keselamatan'), ('atas', 'keselamatan', 'bapak'), ('keselamatan', 'bapak', 'bapak'), ('bapak', 'bapak', 'semua.kalau'), ('bapak', 'semua.kalau', 'bapak'), ('semua.kalau', 'bapak', 'terancam'), ('bapak', 'terancam', 'kami'), ('terancam', 'kami', 'ada'), ('kami', 'ada', 'di'), ('ada', 'di', 'sekitar'), ('di', 'sekitar', 'bapak'), ('sekitar', 'bapak', 'dan'), ('bapak', 'dan', 'keluarga'), ('dan', 'keluarga', '.')]"
@redz3y,BANGUN KILANG BARU: Menguntungkan bagi Indonesia tapi merugikan bagi para mafia minyak Indonesia 😂,bangun kilang baru: menguntungkan bagi indonesia tapi merugikan bagi para mafia minyak indonesia 😂,"['bangun', 'kilang', 'baru', ':', 'menguntungkan', 'bagi', 'indonesia', 'tapi', 'merugikan', 'bagi', 'para', 'mafia', 'minyak', 'indonesia', '😂']","[('bangun', 'kilang', 'baru'), ('kilang', 'baru', ':'), ('baru', ':', 'menguntungkan'), (':', 'menguntungkan', 'bagi'), ('menguntungkan', 'bagi', 'indonesia'), ('bagi', 'indonesia', 'tapi'), ('indonesia', 'tapi', 'merugikan'), ('tapi', 'merugikan', 'bagi'), ('merugikan', 'bagi', 'para'), ('bagi', 'para', 'mafia'), ('para', 'mafia', 'minyak'), ('mafia', 'minyak', 'indonesia'), ('minyak', 'indonesia', '😂')]"
@KDMtv-q4e,MANTAP PAK KOBOI PURBAYA❤ MENKEU RI🇮🇩,mantap pak koboi purbaya❤ menkeu ri🇮🇩,"['mantap', 'pak', 'koboi', 'purbaya❤', 'menkeu', 'ri🇮🇩']","[('mantap', 'pak', 'koboi'), ('pak', 'koboi', 'purbaya❤'), ('koboi', 'purbaya❤', 'menkeu'), ('purbaya❤', 'menkeu', 'ri🇮🇩')]"
@noworries-g4b,"Pak prabowo tolong ganti mentri esdm, bahlil harus digusur karena tidak kompeten. Klo golkar melawan kami rakyat akan tenggelamkan mereka di tahun 2029 😡","pak prabowo tolong ganti mentri esdm, bahlil harus digusur karena tidak kompeten. klo golkar melawan kami rakyat akan tenggelamkan mereka di tahun 2029 😡","['pak', 'prabowo', 'tolong', 'ganti', 'mentri', 'esdm', ',', 'bahlil', 'harus', 'digusur', 'karena', 'tidak', 'kompeten', '.', 'klo', 'golkar', 'melawan', 'kami', 'rakyat', 'akan', 'tenggelamkan', 'mereka', 'di', 'tahun', '2029', '😡']","[('pak', 'prabowo', 'tolong'), ('prabowo', 'tolong', 'ganti'), ('tolong', 'ganti', 'mentri'), ('ganti', 'mentri', 'esdm'), ('mentri', 'esdm', ','), ('esdm', ',', 'bahlil'), (',', 'bahlil', 'harus'), ('bahlil', 'harus', 'digusur'), ('harus', 'digusur', 'karena'), ('digusur', 'karena', 'tidak'), ('karena', 'tidak', 'kompeten'), ('tidak', 'kompeten', '.'), ('kompeten', '.', 'klo'), ('.', 'klo', 'golkar'), ('klo', 'golkar', 'melawan'), ('golkar', 'melawan', 'kami'), ('melawan', 'kami', 'rakyat'), ('kami', 'rakyat', 'akan'), ('rakyat', 'akan', 'tenggelamkan'), ('akan', 'tenggelamkan', 'mereka'), ('tenggelamkan', 'mereka', 'di'), ('mereka', 'di', 'tahun'), ('di', 'tahun', '2029'), ('tahun', '2029', '😡')]"
@TheAnonymousKnightOfJustice,DUKUNG PURBAYA! HIDUPLAH INDONESIA RAYA!,dukung purbaya! hiduplah indonesia raya!,"['dukung', 'purbaya', '!', 'hiduplah', 'indonesia', 'raya', '!']","[('dukung', 'purbaya', '!'), ('purbaya', '!', 'hiduplah'), ('!', 'hiduplah', 'indonesia'), ('hiduplah', 'indonesia', 'raya'), ('indonesia', 'raya', '!')]"
@eskrimwatch09,Ya allah lindungilah menkeu purbaya yg sangat tidak pro korupsi ❤❤❤❤,ya allah lindungilah menkeu purbaya yg sangat tidak pro korupsi ❤❤❤❤,"['ya', 'allah', 'lindungilah', 'menkeu', 'purbaya', 'yg', 'sangat', 'tidak', 'pro', 'korupsi', '❤❤❤❤']","[('ya', 'allah', 'lindungilah'), ('allah', 'lindungilah', 'menkeu'), ('lindungilah', 'menkeu', 'purbaya'), ('menkeu', 'purbaya', 'yg'), ('purbaya', 'yg', 'sangat'), ('yg', 'sangat', 'tidak'), ('sangat', 'tidak', 'pro'), ('tidak', 'pro', 'korupsi'), ('pro', 'korupsi', '❤❤❤❤')]"
@yendiyan,"Pertamina dan BUMN itu harus di Reformasi Besar besaran, Pejabat pejabatnya banyak yang korup, Pertamina dan BUMN Tidak ada saingan  masih tetap rugi, apalagi ada saingan😂","pertamina dan bumn itu harus di reformasi besar besaran, pejabat pejabatnya banyak yang korup, pertamina dan bumn tidak ada saingan  masih tetap rugi, apalagi ada saingan😂","['pertamina', 'dan', 'bumn', 'itu', 'harus', 'di', 'reformasi', 'besar', 'besaran', ',', 'pejabat', 'pejabatnya', 'banyak', 'yang', 'korup', ',', 'pertamina', 'dan', 'bumn', 'tidak', 'ada', 'saingan', 'masih', 'tetap', 'rugi', ',', 'apalagi', 'ada', 'saingan😂']","[('pertamina', 'dan', 'bumn'), ('dan', 'bumn', 'itu'), ('bumn', 'itu', 'harus'), ('itu', 'harus', 'di'), ('harus', 'di', 'reformasi'), ('di', 'reformasi', 'besar'), ('reformasi', 'besar', 'besaran'), ('besar', 'besaran', ','), ('besaran', ',', 'pejabat'), (',', 'pejabat', 'pejabatnya'), ('pejabat', 'pejabatnya', 'banyak'), ('pejabatnya', 'banyak', 'yang'), ('banyak', 'yang', 'korup'), ('yang', 'korup', ','), ('korup', ',', 'pertamina'), (',', 'pertamina', 'dan'), ('pertamina', 'dan', 'bumn'), ('dan', 'bumn', 'tidak'), ('bumn', 'tidak', 'ada'), ('tidak', 'ada', 'saingan'), ('ada', 'saingan', 'masih'), ('saingan', 'masih', 'tetap'), ('masih', 'tetap', 'rugi'), ('tetap', 'rugi', ','), ('rugi', ',', 'apalagi'), (',', 'apalagi', 'ada'), ('apalagi', 'ada', 'saingan😂')]"
@GUNARSAIGUSTIKETUT,Bahlil...bahlil..sdh tdk percaya dgn manusia2 model begini.,bahlil...bahlil..sdh tdk percaya dgn manusia2 model begini.,"['bahlil', '...', 'bahlil', '..', 'sdh', 'tdk', 'percaya', 'dgn', 'manusia2', 'model', 'begini', '.']","[('bahlil', '...', 'bahlil'), ('...', 'bahlil', '..'), ('bahlil', '..', 'sdh'), ('..', 'sdh', 'tdk'), ('sdh', 'tdk', 'percaya'), ('tdk', 'percaya', 'dgn'), ('percaya', 'dgn', 'manusia2'), ('dgn', 'manusia2', 'model'), ('manusia2', 'model', 'begini'), ('model', 'begini', '.')]"
@mirav8165,"RAKYAT BISA MENILAI MANA PEJABAT YANG TUKANG NGIBUL, SUKA BIKIN KONTROVERSI, MEMBUAT KEBIJAKAN MENYUSAHKAN RAKYAT VS PEJABAT YG PRO RAKYAT.. MAJU TERUS PAK PURBAYA, RAKYAT MENDUKUNGMU","rakyat bisa menilai mana pejabat yang tukang ngibul, suka bikin kontroversi, membuat kebijakan menyusahkan rakyat vs pejabat yg pro rakyat.. maju terus pak purbaya, rakyat mendukungmu","['rakyat', 'bisa', 'menilai', 'mana', 'pejabat', 'yang', 'tukang', 'ngibul', ',', 'suka', 'bikin', 'kontroversi', ',', 'membuat', 'kebijakan', 'menyusahkan', 'rakyat', 'vs', 'pejabat', 'yg', 'pro', 'rakyat', '..', 'maju', 'terus', 'pak', 'purbaya', ',', 'rakyat', 'mendukungmu']","[('rakyat', 'bisa', 'menilai'), ('bisa', 'menilai', 'mana'), ('menilai', 'mana', 'pejabat'), ('mana', 'pejabat', 'yang'), ('pejabat', 'yang', 'tukang'), ('yang', 'tukang', 'ngibul'), ('tukang', 'ngibul', ','), ('ngibul', ',', 'suka'), (',', 'suka', 'bikin'), ('suka', 'bikin', 'kontroversi'), ('bikin', 'kontroversi', ','), ('kontroversi', ',', 'membuat'), (',', 'membuat', 'kebijakan'), ('membuat', 'kebijakan', 'menyusahkan'), ('kebijakan', 'menyusahkan', 'rakyat'), ('menyusahkan', 'rakyat', 'vs'), ('rakyat', 'vs', 'pejabat'), ('vs', 'pejabat', 'yg'), ('pejabat', 'yg', 'pro'), ('yg', 'pro', 'rakyat'), ('pro', 'rakyat', '..'), ('rakyat', '..', 'maju'), ('..', 'maju', 'terus'), ('maju', 'terus', 'pak'), ('terus', 'pak', 'purbaya'), ('pak', 'purbaya', ','), ('purbaya', ',', 'rakyat'), (',', 'rakyat', 'mendukungmu')]"
