author,comment,case_folded_comment
@ributandiastoto1516,"Over capacity ko masih impor, logikanya dimana? Salah satu mafianya nongol😂😂😂","over capacity ko masih impor, logikanya dimana? salah satu mafianya nongol😂😂😂"
@redz3y,BANGUN KILANG BARU: Menguntungkan bagi Indonesia tapi merugikan bagi para mafia minyak Indonesia 😂,bangun kilang baru: menguntungkan bagi indonesia tapi merugikan bagi para mafia minyak indonesia 😂
@hermance1838,Lanjutkan pak Purbaya kami rakyat Indonesia di Kalimantan mendukung dan selalu memantau bapak tim dan keluarga atas keselamatan bapak bapak semua.kalau bapak terancam kami ada di sekitar bapak dan keluarga.,lanjutkan pak purbaya kami rakyat indonesia di kalimantan mendukung dan selalu memantau bapak tim dan keluarga atas keselamatan bapak bapak semua.kalau bapak terancam kami ada di sekitar bapak dan keluarga.
@luthzvi,"99,9% rakyat bersama Mr Purbaya. 0,1% sisanya dukung yang satunya sudah termasuk keluarga dan kolega","99,9% rakyat bersama mr purbaya. 0,1% sisanya dukung yang satunya sudah termasuk keluarga dan kolega"
@zhafranal-ghifariassegaf4236,TEAM  PURBAYA  ❤,team  purbaya  ❤
@TheAnonymousKnightOfJustice,DUKUNG PURBAYA! HIDUPLAH INDONESIA RAYA!,dukung purbaya! hiduplah indonesia raya!
@eskrimwatch09,Ya allah lindungilah menkeu purbaya yg sangat tidak pro korupsi ❤❤❤❤,ya allah lindungilah menkeu purbaya yg sangat tidak pro korupsi ❤❤❤❤
@sudirmanmuslimin7658,Pak menteri keuangan orang jujur semoga pak Prabowo menjaga menteri keuangan,pak menteri keuangan orang jujur semoga pak prabowo menjaga menteri keuangan
@noworries-g4b,"Pak prabowo tolong ganti mentri esdm, bahlil harus digusur karena tidak kompeten. Klo golkar melawan kami rakyat akan tenggelamkan mereka di tahun 2029 😡","pak prabowo tolong ganti mentri esdm, bahlil harus digusur karena tidak kompeten. klo golkar melawan kami rakyat akan tenggelamkan mereka di tahun 2029 😡"
@yezwecoolbro2,"Jebolan ITB lawan jebolan yg kampusnya nggak ada di Gogle,ayo rskyat!!! siapa yg hebat?","jebolan itb lawan jebolan yg kampusnya nggak ada di gogle,ayo rskyat!!! siapa yg hebat?"
@KDMtv-q4e,MANTAP PAK KOBOI PURBAYA❤ MENKEU RI🇮🇩,mantap pak koboi purbaya❤ menkeu ri🇮🇩
@HasilUji,"kapan rakyat mau silaturahmi ke rumah bahlil, ajak ajak dong","kapan rakyat mau silaturahmi ke rumah bahlil, ajak ajak dong"
@GUNARSAIGUSTIKETUT,Bahlil...bahlil..sdh tdk percaya dgn manusia2 model begini.,bahlil...bahlil..sdh tdk percaya dgn manusia2 model begini.
@mirav8165,"RAKYAT BISA MENILAI MANA PEJABAT YANG TUKANG NGIBUL, SUKA BIKIN KONTROVERSI, MEMBUAT KEBIJAKAN MENYUSAHKAN RAKYAT VS PEJABAT YG PRO RAKYAT.. MAJU TERUS PAK PURBAYA, RAKYAT MENDUKUNGMU","rakyat bisa menilai mana pejabat yang tukang ngibul, suka bikin kontroversi, membuat kebijakan menyusahkan rakyat vs pejabat yg pro rakyat.. maju terus pak purbaya, rakyat mendukungmu"
@martinadhie,"Menkeu dulu berjulukan ratu pajak, pencekik rakyat jelata.
Menkeu sekarang, jadi pahlawan rakyat, lawan ""politikus gelap"". 👍","menkeu dulu berjulukan ratu pajak, pencekik rakyat jelata.
menkeu sekarang, jadi pahlawan rakyat, lawan ""politikus gelap"". 👍"
@phdbodoh3571,Jadi paham kenapa Menkeu memangkas dana Daerah. Gubernur2 harus mulai mikir Otonomi yg gak cuma dari pajak. Biar kerja.. Gak cuma pencitraan aja. Boong banget kalau alasan protes kemarin gegara gak bisa gaji PNS nya. Paling takut dipangkas ongkos jalan2nya. Nyatanya... Dana terbatas desa aja bisa bikin jalan2 desa cukup baik di tangan pak kades yg benar. Di daerah mana ada juga Bupati yg mampu otonom akhirnya jadi kota terproduktif di Indonesia. Ya biar apa?? Biar kerja.. Biar gak dikorupsi... Biar bisa memajukan Provinsinya sendiri gak bergantung dari Pusat.,jadi paham kenapa menkeu memangkas dana daerah. gubernur2 harus mulai mikir otonomi yg gak cuma dari pajak. biar kerja.. gak cuma pencitraan aja. boong banget kalau alasan protes kemarin gegara gak bisa gaji pns nya. paling takut dipangkas ongkos jalan2nya. nyatanya... dana terbatas desa aja bisa bikin jalan2 desa cukup baik di tangan pak kades yg benar. di daerah mana ada juga bupati yg mampu otonom akhirnya jadi kota terproduktif di indonesia. ya biar apa?? biar kerja.. biar gak dikorupsi... biar bisa memajukan provinsinya sendiri gak bergantung dari pusat.
@haribersamanya4707,"Ukraina aja yg lgi perang bisa bangun ulang kilang minyak mereka, lah ini nggak ngapa2in kagak bisa bangun kilang!!!","ukraina aja yg lgi perang bisa bangun ulang kilang minyak mereka, lah ini nggak ngapa2in kagak bisa bangun kilang!!!"
