comment,model_label_initial,model_confidence_initial,llm_label,model_label_final,model_confidence_final
"Over capacity ko masih impor, logikanya dimana? Salah satu mafianya nongol😂😂😂",negatif,0.5688291720241823,netral,negatif,0.5700683814424594
Lanjutkan pak Purbaya kami rakyat Indonesia di Kalimantan mendukung dan selalu memantau bapak tim dan keluarga atas keselamatan bapak bapak semua.kalau bapak terancam kami ada di sekitar bapak dan keluarga.,netral,0.36410263834456175,netral,positif,0.4742353575005576
BANGUN KILANG BARU: Menguntungkan bagi Indonesia tapi merugikan bagi para mafia minyak Indonesia 😂,negatif,0.39361752068384454,netral,positif,0.41139465584032947
MANTAP PAK KOBOI PURBAYA❤ MENKEU RI🇮🇩,positif,0.4700250994966635,positif,positif,0.6301794926516686
"Pak prabowo tolong ganti mentri esdm, bahlil harus digusur karena tidak kompeten. Klo golkar melawan kami rakyat akan tenggelamkan mereka di tahun 2029 😡",netral,0.3896600603762603,negatif,negatif,0.5618986377759695
DUKUNG PURBAYA! HIDUPLAH INDONESIA RAYA!,positif,0.6066728600871957,netral,positif,0.6033445613730332
Ya allah lindungilah menkeu purbaya yg sangat tidak pro korupsi ❤❤❤❤,positif,0.4833724228637259,negatif,positif,0.4542669944965417
"Pertamina dan BUMN itu harus di Reformasi Besar besaran, Pejabat pejabatnya banyak yang korup, Pertamina dan BUMN Tidak ada saingan  masih tetap rugi, apalagi ada saingan😂",positif,0.3636662303595789,negatif,netral,0.403377595813716
Bahlil...bahlil..sdh tdk percaya dgn manusia2 model begini.,positif,0.3955060068886421,netral,positif,0.389254111821221
"RAKYAT BISA MENILAI MANA PEJABAT YANG TUKANG NGIBUL, SUKA BIKIN KONTROVERSI, MEMBUAT KEBIJAKAN MENYUSAHKAN RAKYAT VS PEJABAT YG PRO RAKYAT.. MAJU TERUS PAK PURBAYA, RAKYAT MENDUKUNGMU",positif,0.6657773942823245,positif,positif,0.7004182229285153
"Jebolan ITB lawan jebolan yg kampusnya nggak ada di Gogle,ayo rskyat!!! siapa yg hebat?",negatif,0.47269083603468254,netral,negatif,0.4812322323331279
"Semenjak Zaman Pak Soeharto tidak satupun Sumur minyak dan kilang yang di bangun.  Ada apa?????????
Padahal perkara sepele mengurus hal seperti itu,.",positif,0.45316572917230835,negatif,positif,0.46522076241368393
"Menkeu dulu berjulukan ratu pajak, pencekik rakyat jelata.
Menkeu sekarang, jadi pahlawan rakyat, lawan ""politikus gelap"". 👍",positif,0.40622358450870316,netral,positif,0.3629010063548455
"Maaf dana nya abis di pake korupsi, ngak bangun kilang sejak tahun 98",negatif,0.5647855493646313,negatif,negatif,0.5729401496311947
TANGKAP & PERIKSA BAHLIIL !!!!!!!,netral,0.3518518518518519,netral,netral,0.3492647058823529
