author,comment,clean_comment,tokens,filtered_comment
@ributandiastoto1516,"Over capacity ko masih impor, logikanya dimana? Salah satu mafianya nongol😂😂😂",over capacity ko masih impor logikanya dimana salah satu mafianya nongol,"['over', 'capacity', 'ko', 'masih', 'impor', 'logikanya', 'dimana', 'salah', 'satu', 'mafianya', 'nongol']",over capacity ko impor logikanya dimana salah mafianya nongol
@hermance1838,Lanjutkan pak Purbaya kami rakyat Indonesia di Kalimantan mendukung dan selalu memantau bapak tim dan keluarga atas keselamatan bapak bapak semua.kalau bapak terancam kami ada di sekitar bapak dan keluarga.,lanjutkan pak purbaya kami rakyat indonesia di kalimantan mendukung dan selalu memantau bapak tim dan keluarga atas keselamatan bapak bapak semuakalau bapak terancam kami ada di sekitar bapak dan keluarga,"['lanjutkan', 'pak', 'purbaya', 'kami', 'rakyat', 'indonesia', 'di', 'kalimantan', 'mendukung', 'dan', 'selalu', 'memantau', 'bapak', 'tim', 'dan', 'keluarga', 'atas', 'keselamatan', 'bapak', 'bapak', 'semuakalau', 'bapak', 'terancam', 'kami', 'ada', 'di', 'sekitar', 'bapak', 'dan', 'keluarga']",lanjutkan purbaya rakyat indonesia kalimantan mendukung memantau tim keluarga keselamatan semuakalau terancam keluarga
@redz3y,BANGUN KILANG BARU: Menguntungkan bagi Indonesia tapi merugikan bagi para mafia minyak Indonesia 😂,bangun kilang baru menguntungkan bagi indonesia tapi merugikan bagi para mafia minyak indonesia,"['bangun', 'kilang', 'baru', 'menguntungkan', 'bagi', 'indonesia', 'tapi', 'merugikan', 'bagi', 'para', 'mafia', 'minyak', 'indonesia']",bangun kilang menguntungkan indonesia merugikan mafia minyak indonesia
@KDMtv-q4e,MANTAP PAK KOBOI PURBAYA❤ MENKEU RI🇮🇩,mantap pak koboi purbaya menkeu ri,"['mantap', 'pak', 'koboi', 'purbaya', 'menkeu', 'ri']",mantap koboi purbaya menkeu ri
@noworries-g4b,"Pak prabowo tolong ganti mentri esdm, bahlil harus digusur karena tidak kompeten. Klo golkar melawan kami rakyat akan tenggelamkan mereka di tahun 2029 😡",pak prabowo tolong ganti mentri esdm bahlil harus digusur karena tidak kompeten klo golkar melawan kami rakyat akan tenggelamkan mereka di tahun,"['pak', 'prabowo', 'tolong', 'ganti', 'mentri', 'esdm', 'bahlil', 'harus', 'digusur', 'karena', 'tidak', 'kompeten', 'klo', 'golkar', 'melawan', 'kami', 'rakyat', 'akan', 'tenggelamkan', 'mereka', 'di', 'tahun']",prabowo tolong ganti mentri esdm bahlil digusur kompeten klo golkar melawan rakyat tenggelamkan
@TheAnonymousKnightOfJustice,DUKUNG PURBAYA! HIDUPLAH INDONESIA RAYA!,dukung purbaya hiduplah indonesia raya,"['dukung', 'purbaya', 'hiduplah', 'indonesia', 'raya']",dukung purbaya hiduplah indonesia raya
@eskrimwatch09,Ya allah lindungilah menkeu purbaya yg sangat tidak pro korupsi ❤❤❤❤,ya allah lindungilah menkeu purbaya yg sangat tidak pro korupsi,"['ya', 'allah', 'lindungilah', 'menkeu', 'purbaya', 'yg', 'sangat', 'tidak', 'pro', 'korupsi']",ya allah lindungilah menkeu purbaya yg pro korupsi
@yendiyan,"Pertamina dan BUMN itu harus di Reformasi Besar besaran, Pejabat pejabatnya banyak yang korup, Pertamina dan BUMN Tidak ada saingan  masih tetap rugi, apalagi ada saingan😂",pertamina dan bumn itu harus di reformasi besar besaran pejabat pejabatnya banyak yang korup pertamina dan bumn tidak ada saingan  masih tetap rugi apalagi ada saingan,"['pertamina', 'dan', 'bumn', 'itu', 'harus', 'di', 'reformasi', 'besar', 'besaran', 'pejabat', 'pejabatnya', 'banyak', 'yang', 'korup', 'pertamina', 'dan', 'bumn', 'tidak', 'ada', 'saingan', 'masih', 'tetap', 'rugi', 'apalagi', 'ada', 'saingan']",pertamina bumn reformasi besaran pejabat pejabatnya korup pertamina bumn saingan rugi saingan
@GUNARSAIGUSTIKETUT,Bahlil...bahlil..sdh tdk percaya dgn manusia2 model begini.,bahlilbahlilsdh tdk percaya dgn manusia model begini,"['bahlilbahlilsdh', 'tdk', 'percaya', 'dgn', 'manusia', 'model', 'begini']",bahlilbahlilsdh tdk percaya dgn manusia model
@mirav8165,"RAKYAT BISA MENILAI MANA PEJABAT YANG TUKANG NGIBUL, SUKA BIKIN KONTROVERSI, MEMBUAT KEBIJAKAN MENYUSAHKAN RAKYAT VS PEJABAT YG PRO RAKYAT.. MAJU TERUS PAK PURBAYA, RAKYAT MENDUKUNGMU",rakyat bisa menilai mana pejabat yang tukang ngibul suka bikin kontroversi membuat kebijakan menyusahkan rakyat vs pejabat yg pro rakyat maju terus pak purbaya rakyat mendukungmu,"['rakyat', 'bisa', 'menilai', 'mana', 'pejabat', 'yang', 'tukang', 'ngibul', 'suka', 'bikin', 'kontroversi', 'membuat', 'kebijakan', 'menyusahkan', 'rakyat', 'vs', 'pejabat', 'yg', 'pro', 'rakyat', 'maju', 'terus', 'pak', 'purbaya', 'rakyat', 'mendukungmu']",rakyat menilai pejabat tukang ngibul suka bikin kontroversi kebijakan menyusahkan rakyat vs pejabat yg pro rakyat maju purbaya rakyat mendukungmu
@yezwecoolbro2,"Jebolan ITB lawan jebolan yg kampusnya nggak ada di Gogle,ayo rskyat!!! siapa yg hebat?",jebolan itb lawan jebolan yg kampusnya nggak ada di gogleayo rskyat siapa yg hebat,"['jebolan', 'itb', 'lawan', 'jebolan', 'yg', 'kampusnya', 'nggak', 'ada', 'di', 'gogleayo', 'rskyat', 'siapa', 'yg', 'hebat']",jebolan itb lawan jebolan yg kampusnya nggak gogleayo rskyat yg hebat
@ShuckryAmien,"Semenjak Zaman Pak Soeharto tidak satupun Sumur minyak dan kilang yang di bangun.  Ada apa?????????
Padahal perkara sepele mengurus hal seperti itu,.","semenjak zaman pak soeharto tidak satupun sumur minyak dan kilang yang di bangun  ada apa
padahal perkara sepele mengurus hal seperti itu","['semenjak', 'zaman', 'pak', 'soeharto', 'tidak', 'satupun', 'sumur', 'minyak', 'dan', 'kilang', 'yang', 'di', 'bangun', 'ada', 'apa', 'padahal', 'perkara', 'sepele', 'mengurus', 'hal', 'seperti', 'itu']",semenjak zaman soeharto satupun sumur minyak kilang bangun perkara sepele mengurus
@martinadhie,"Menkeu dulu berjulukan ratu pajak, pencekik rakyat jelata.
Menkeu sekarang, jadi pahlawan rakyat, lawan ""politikus gelap"". 👍","menkeu dulu berjulukan ratu pajak pencekik rakyat jelata
menkeu sekarang jadi pahlawan rakyat lawan politikus gelap","['menkeu', 'dulu', 'berjulukan', 'ratu', 'pajak', 'pencekik', 'rakyat', 'jelata', 'menkeu', 'sekarang', 'jadi', 'pahlawan', 'rakyat', 'lawan', 'politikus', 'gelap']",menkeu berjulukan ratu pajak pencekik rakyat jelata menkeu pahlawan rakyat lawan politikus gelap
@AW-zu4kk,"Maaf dana nya abis di pake korupsi, ngak bangun kilang sejak tahun 98",maaf dana nya abis di pake korupsi ngak bangun kilang sejak tahun,"['maaf', 'dana', 'nya', 'abis', 'di', 'pake', 'korupsi', 'ngak', 'bangun', 'kilang', 'sejak', 'tahun']",maaf dana nya abis pake korupsi ngak bangun kilang
@antonandiasis2872,TANGKAP & PERIKSA BAHLIIL !!!!!!!,tangkap  periksa bahliil,"['tangkap', 'periksa', 'bahliil']",tangkap periksa bahliil
@drumsetmusician,"""Sebentar lagi mau di bangun kok..."".....dalam mimpi kali yeee😅🎉",sebentar lagi mau di bangun kokdalam mimpi kali yeee,"['sebentar', 'lagi', 'mau', 'di', 'bangun', 'kokdalam', 'mimpi', 'kali', 'yeee']",sebentar bangun kokdalam mimpi kali yeee
@haribersamanya4707,"Ukraina aja yg lgi perang bisa bangun ulang kilang minyak mereka, lah ini nggak ngapa2in kagak bisa bangun kilang!!!",ukraina aja yg lgi perang bisa bangun ulang kilang minyak mereka lah ini nggak ngapain kagak bisa bangun kilang,"['ukraina', 'aja', 'yg', 'lgi', 'perang', 'bisa', 'bangun', 'ulang', 'kilang', 'minyak', 'mereka', 'lah', 'ini', 'nggak', 'ngapain', 'kagak', 'bisa', 'bangun', 'kilang']",ukraina aja yg lgi perang bangun ulang kilang minyak nggak ngapain kagak bangun kilang
@andisisandi3806,Wah Bahlil main2 sama Mentri kepercayaan Prabowo.,wah bahlil main sama mentri kepercayaan prabowo,"['wah', 'bahlil', 'main', 'sama', 'mentri', 'kepercayaan', 'prabowo']",bahlil main mentri kepercayaan prabowo
@SaveroEro-l2k,"kita ga kekurangan orang pinter, cuma kerkurangan hati nurani...",kita ga kekurangan orang pinter cuma kerkurangan hati nurani,"['kita', 'ga', 'kekurangan', 'orang', 'pinter', 'cuma', 'kerkurangan', 'hati', 'nurani']",ga kekurangan orang pinter kerkurangan hati nurani
@syahruljailani9507,gila dr tahun 98... dr sini gue paham betapa murahnya harusnya harga bensin... namun penjahat disektor tersebutlah yg bikin jadi mahal,gila dr tahun  dr sini gue paham betapa murahnya harusnya harga bensin namun penjahat disektor tersebutlah yg bikin jadi mahal,"['gila', 'dr', 'tahun', 'dr', 'sini', 'gue', 'paham', 'betapa', 'murahnya', 'harusnya', 'harga', 'bensin', 'namun', 'penjahat', 'disektor', 'tersebutlah', 'yg', 'bikin', 'jadi', 'mahal']",gila dr dr gue paham betapa murahnya harga bensin penjahat disektor yg bikin mahal
@retnayuli,"😅😅😅😅Betul. Kl byk kilang, kenapa nggak cukup minyak produksinya? Impor utk dpt FEE IMPOR? NIRU PERSIS KAYAK KASUS IMPOR DAGING SAPI? KOMISI DIBAGI-BAGI? Alasan impor, gak cukup produksinya, tapi BOONG! Blm penemuan sumber minyak di ARUN, ACEH, ITU TERBESAR DI DUNIA! Masih KURANG FEE IMPORNYA? Subsidi BBM 30 TRILYUN, DIGEDEIN JADI 37 TRILYUN. Kemana 7 TRILYUN tsb?",betul kl byk kilang kenapa nggak cukup minyak produksinya impor utk dpt fee impor niru persis kayak kasus impor daging sapi komisi dibagibagi alasan impor gak cukup produksinya tapi boong blm penemuan sumber minyak di arun aceh itu terbesar di dunia masih kurang fee impornya subsidi bbm  trilyun digedein jadi  trilyun kemana  trilyun tsb,"['betul', 'kl', 'byk', 'kilang', 'kenapa', 'nggak', 'cukup', 'minyak', 'produksinya', 'impor', 'utk', 'dpt', 'fee', 'impor', 'niru', 'persis', 'kayak', 'kasus', 'impor', 'daging', 'sapi', 'komisi', 'dibagibagi', 'alasan', 'impor', 'gak', 'cukup', 'produksinya', 'tapi', 'boong', 'blm', 'penemuan', 'sumber', 'minyak', 'di', 'arun', 'aceh', 'itu', 'terbesar', 'di', 'dunia', 'masih', 'kurang', 'fee', 'impornya', 'subsidi', 'bbm', 'trilyun', 'digedein', 'jadi', 'trilyun', 'kemana', 'trilyun', 'tsb']",kl byk kilang nggak minyak produksinya impor utk dpt fee impor niru persis kayak impor daging sapi komisi dibagibagi alasan impor gak produksinya boong blm penemuan sumber minyak arun aceh terbesar dunia fee impornya subsidi bbm trilyun digedein trilyun kemana trilyun tsb
@ahmadnasir7286,Antrian di SPBU Ngantri 😂,antrian di spbu ngantri,"['antrian', 'di', 'spbu', 'ngantri']",antrian spbu ngantri
